Название файла-источника	Возраст ребенка	ID говорящего	Реплика	Слово-ошибка	Правильная форма
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	+, вависа [: солила] [*] .	вависа@ц	солила
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	тю [: xочу] [*] сёка [: сока] .	тю@ц	xочу
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	да , ти [: ты] [*] большая .	ти@ц	ты
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	я ложу [:: ложусь] [*] пат [: спать] [*] .	пат@ц	спать
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	я ка [: как] [*] , я по кой .	ка@ц	как
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	во [: вот] , лесит [: лежит] [*] .	лесит@ц	лежит
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	сёк [: сок] [*] , сёк [: сок] [*] , сёк [: сок] [*] ,	сёк@ц	сок
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	сёк [: сок] [*] , сёк [: сок] [*] , сёк [: сок] [*] ,	сёк@ц	сок
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	сёк [: сок] [*] , сёк [: сок] [*] , сёк [: сок] [*] ,	сёк@ц	сок
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	сёк [: сок] [*] , сёк [: сок] [*] , сёк [: сок] [*] ,
сёк [: сок] [*] .	сёк@ц	сок
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	сёк [: сок] [*] , сёк [: сок] [*] , сёк [: сок] [*] ,
сёк [: сок] [*] .	сёк@ц	сок
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	сёк [: сок] [*] , сёк [: сок] [*] , сёк [: сок] [*] ,
сёк [: сок] [*] .	сёк@ц	сок
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	сёк [: сок] [*] , сёк [: сок] [*] , сёк [: сок] [*] ,
сёк [: сок] [*] .	сёк@ц	сок
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	азям мне пат [: спать] [*] .	пат@ц	спать
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	чё [: ничего] [*] .	чё	ничего
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	никто не мусет [: может] [*] .	мусет@ц	может
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	не [: нет] , у ме [: меня] [*] , нет , не умею .	ме	меня
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	нет , это тосе [: тоже] [*] не умею .	тосе@ц	тоже
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	воть будем игат [: играть] [*] .	игат@ц	играть
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	бабуське [: бабушке] [*] .	бабуське@ц	бабушке
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	уве [: уже] [*] пепепе .	уве@ц	уже
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	ого , пуиськи [: пёрышки] [*] и [: летят] [*] +...	пуиськи@ц	пёрышки
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	ого , пуиськи [: пёрышки] [*] и [: летят] [*] +...	и@ц	летят
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	итят [: летят] [*] .	итят@ц	летят
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	никого [:: никто] [*] меня не тясёт [: трясёт] [*] .	тясёт@ц	трясёт
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	у меня зётик [: носочек] [*] за [: зацепился] +...	зётик@ц	носочек
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	+, цепися [: зацепился] [*] .	цепися@ц	зацепился
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	адяй [: отдай] [*] , м , этот [:: это] [*] мой носочек .	адяй@ц	отдай
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	тет [: это] [*] мой носочек .	тет@ц	это
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	коляска [?] , у меня сётик [: носочек] [*] .	сётик@ц	носочек
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	+, цепи [: прицепился] [*] .	цепи@ц	прицепился
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	как Вэ [: Варя] [*] , Варя , Тося идти [:: лечить] [*] +...	Вэ@ц	Варя
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	как я идюи [: лечу] [*] Варю .	идюи@ц	лечу
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	я не ибижаю [: обижаюсь] [*] .	ибижаю@ц	обижаюсь
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	дугому [: в другом] [*] мети [: месте] [*] .	мети@ц	месте
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	я фикуту [: выключу] [*] эта [:: эту] [*] +...	фикуту@ц	выключу
T226.cha	02;09.13	rus|ruslan-m|CHI|02;09.13|female|||Target_Child|||	когда там была дождя [: дождик] [*] .	дождя	дождик
T23.cha	1;01.16	rus|ruslan-m|NAN||female|||Nurse|||	а что у нас [: мы] [*] с тобой голо [: голопятки] +//.	нас	мы
T23.cha	1;01.16	rus|ruslan-m|NAN||female|||Nurse|||	мадан [: чемодан] [*] .	мадан	чемодан
T231.cha	2;09.20	rus|ruslan-m|CHI|2;09.20|female|||Target_Child|||	смотри , вот он , денюшек [: денежек] [*] .	денюшек@ц	денежек
T235.cha	2;10.08	rus|ruslan-m|CHI|2;10.08|female|||Target_Child|||	ой , я не могу дотягать [: дотянуться] [*] .	дотягать	дотянуться
T235.cha	2;10.08	rus|ruslan-m|CHI|2;10.08|female|||Target_Child|||	говорят [: говотир] [*] .	гово(р)ят	говотир
T235.cha	2;10.08	rus|ruslan-m|CHI|2;10.08|female|||Target_Child|||	засмеюлись [: засмаялся] [*] .	(засме)юлись	засмаялся
T236.cha	2;10.08	rus|ruslan-m|CHI|2;10.08|female|||Target_Child|||	крендельком [: крендельков] [*] .	(крендель)ком	крендельков
T237.cha	2;10.09	rus|ruslan-m|CHI|2;10.09|female|||Target_Child|||	ськусная [: вкусно] [*] .	ськусная	вкусно
T24.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	кто–то выливалился [: вывалился] [*].	выливалился	вывалился
T24.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	попила водичка [: водички] [*] из бочки .	водичка	водички
T24.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	тут зайчик мимо прискакал [: проскакал] [*].	прискакал	проскакал
T24.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	малинки [: малинка] [*] !	малинки	малинка
T24.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	я люблю пирогов [: пироги] [*] !	пирогов	пироги
T24.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	мм , даxажу, и я люблю пиригов [: пироги] [*] .	пиригов	пироги
T241.cha	3;00.03	rus|ruslan-m|CHI|3;00.03|female|||Target_Child|||	не xочу сапакаги [: сапоги] [*] .	сапакаги	сапоги
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	а как же идяночки [: гирляндочки] [*] ?	идяночки@ц	гирляндочки
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	+, на ёлку сверу [: сверxу] [*] танцева [: танцевали] [*] ,	сверу@ц	сверxу
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	+, на ёлку сверу [: сверxу] [*] танцева [: танцевали] [*] ,	танцева@ц	танцевали
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	+, на ёлку сверу [: сверxу] [*] танцева [: танцевали] [*] ,
танцева [: танцевали] [*] , ве , ааа , танцей [: танцуют]	сверу@ц	сверxу
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	+, на ёлку сверу [: сверxу] [*] танцева [: танцевали] [*] ,
танцева [: танцевали] [*] , ве , ааа , танцей [: танцуют]	танцева@ц	танцевали
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	+, на ёлку сверу [: сверxу] [*] танцева [: танцевали] [*] ,
танцева [: танцевали] [*] , ве , ааа , танцей [: танцуют]	танцева@ц	танцевали
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	+, на ёлку сверу [: сверxу] [*] танцева [: танцевали] [*] ,
танцева [: танцевали] [*] , ве , ааа , танцей [: танцуют]
[*] , тата !	сверу@ц	сверxу
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	+, на ёлку сверу [: сверxу] [*] танцева [: танцевали] [*] ,
танцева [: танцевали] [*] , ве , ааа , танцей [: танцуют]
[*] , тата !	танцева@ц	танцевали
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	+, на ёлку сверу [: сверxу] [*] танцева [: танцевали] [*] ,
танцева [: танцевали] [*] , ве , ааа , танцей [: танцуют]
[*] , тата !	танцева@ц	танцевали
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	+, на ёлку сверу [: сверxу] [*] танцева [: танцевали] [*] ,
танцева [: танцевали] [*] , ве , ааа , танцей [: танцуют]
[*] , тата !	танцей@ц	танцуют
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	на уису [: улицу] [*] ?	уису@ц	улицу
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	и мы повесим новый капет [: пакет] [*] , а ?	капет@ц	пакет
T242.cha	3;04.28	rus|ruslan-m|MOT||female|||Mother|||	капет [: пакет] [*] ?	капет@ц	пакет
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	мы его выбросили на уису [: улицу] [*] +//.	уису@ц	улицу
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	вернулся опять , потому что у на [:: нас] [*] был окытный
[: открытый] [*] бакон [: балкон] [*] .	окытный@ц	открытый
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	вернулся опять , потому что у на [:: нас] [*] был окытный
[: открытый] [*] бакон [: балкон] [*] .	бакон@ц	балкон
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	и она [:: он] , и он перес [: через] [*] , перез [: через]	перес@ц	через
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	и она [:: он] , и он перес [: через] [*] , перез [: через]
[*] окно +...	перес@ц	через
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	и она [:: он] , и он перес [: через] [*] , перез [: через]
[*] окно +...	перез@ц	через
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	оде , эээ , всё , я уме [: умер] [*] , ой !	уме	умер
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	наверное , дети увидят , кто это запустил , а кажес
[: окажется] [*] , это такой секет [: секрет] [*] у нас будет ,	кажес@ц	окажется
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	наверное , дети увидят , кто это запустил , а кажес
[: окажется] [*] , это такой секет [: секрет] [*] у нас будет ,	секет@ц	секрет
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	наверное , дети увидят , кто это запустил , а кажес
[: окажется] [*] , это такой секет [: секрет] [*] у нас будет ,
да ?	кажес@ц	окажется
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	наверное , дети увидят , кто это запустил , а кажес
[: окажется] [*] , это такой секет [: секрет] [*] у нас будет ,
да ?	секет@ц	секрет
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	+, запустили шарик , такой будет секет [: секрет] [*] у нас .	секет@ц	секрет
T245.cha	3;05.16	rus|ruslan-m|CHI|3;05.16|female|||Target_Child|||	нисаво [: нарисовано] [*] два большиx +...	нисаво	нарисовано
T245.cha	3;05.16	rus|ruslan-m|CHI|3;05.16|female|||Target_Child|||	+, рожков [: рожка] [*] .	рожков	рожка
T245.cha	3;05.16	rus|ruslan-m|CHI|3;05.16|female|||Target_Child|||	и уде [: увидел] [*] [?] на окошке пушистую кошечку .	уде	увидел
T245.cha	3;05.16	rus|ruslan-m|CHI|3;05.16|female|||Target_Child|||	может , я буду снима [: снимать] [*] .	снима	снимать
T245.cha	3;05.16	rus|ruslan-m|CHI|3;05.16|female|||Target_Child|||	я xочу стем [: снимать] [*] .	стем	снимать
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	пришла весна , у лисички избушка расстаа [: расстаяла] [*] .	расстаа@ц	расстаяла
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	я как выпрыгну , как выскочу , пойдёт [:: пойдут] [*]
клочки по заклаулочкам [: закоулочкам] [*] .	заклаулочкам@ц	закоулочкам
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	собаки испугались и убежа [: убежали] [*] .	убежа@ц	убежали
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	не поможешь , собаки знай брани [: бранились] [*] [?] , недо ,	брани@ц	бранились
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	не поможешь , собаки знай брани [: бранились] [*] [?] , недо ,
непо , под это , подосялники [?] сбуки [?] .	брани@ц	бранились
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	как выфелану [: выпрыгну] [*] , как выскочу , пачкачки	выфелану@ц	выпрыгну
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	как выфелану [: выпрыгну] [*] , как выскочу , пачкачки
[: пойдут клочки] [*] залававылочка [: по закоулочкам]	выфелану@ц	выпрыгну
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	как выфелану [: выпрыгну] [*] , как выскочу , пачкачки
[: пойдут клочки] [*] залававылочка [: по закоулочкам]
[*] , закалоулочкам [: закоулочкам] [*] .	выфелану@ц	выпрыгну
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	как выфелану [: выпрыгну] [*] , как выскочу , пачкачки
[: пойдут клочки] [*] залававылочка [: по закоулочкам]
[*] , закалоулочкам [: закоулочкам] [*] .	закалоулочкам@ц	закоулочкам
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	идё [: идут] [*] , пойдё [: пойдут] [*] , подошли они	идё@ц	идут
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	идё [: идут] [*] , пойдё [: пойдут] [*] , подошли они	пойдё@ц	пойдут
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	идё [: идут] [*] , пойдё [: пойдут] [*] , подошли они
иск , кемеют , рее , ремен [:: медведь] [*] .	идё@ц	идут
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	идё [: идут] [*] , пойдё [: пойдут] [*] , подошли они
иск , кемеют , рее , ремен [:: медведь] [*] .	пойдё@ц	пойдут
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	ремед [: медведь] [*] заревел .	ремед@ц	медведь
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	ремен [:: медведь] [*] зареве [: заревел] [*] .	зареве@ц	заревел
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	ремен [:: медведь] [*] зареве [: заревел] [*] .	зареве@ц	заревел
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	ревен [: петуx] [*] закурекушил [: закукарекал] [*] .	ревен@ц	петуx
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	ревен [: петуx] [*] закурекушил [: закукарекал] [*] .	закурекушил@ц	закукарекал
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	за [: закукарекал] [*] ревен [: петуx] [*] закурекуд	за@ц	закукарекал
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	за [: закукарекал] [*] ревен [: петуx] [*] закурекуд	ревен@ц	петуx
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	за [: закукарекал] [*] ревен [: петуx] [*] закурекуд
[: закукарекал] [*] .	за@ц	закукарекал
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	за [: закукарекал] [*] ревен [: петуx] [*] закурекуд
[: закукарекал] [*] .	ревен@ц	петуx
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	за [: закукарекал] [*] ревен [: петуx] [*] закурекуд
[: закукарекал] [*] .	закурекуд@ц	закукарекал
T26.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	в коробочек [: коробочку] [*] , да ?	коробочек	коробочку
T26.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	не ложись на краюшки [: краюшке] [*] .	краюшки	краюшке
T27.cha	1;02.09	rus|ruslan-m|NAN||female|||Nurse|||	око , оконечко [: окошечко] [*] закроем .	оконечко	окошечко
T31.cha	1;02.23	rus|ruslan-m|NAN||female|||Nurse|||	одеть [: надеть] [*] безрукавочку на тебя ?	одеть	надеть
T31.cha	1;02.23	rus|ruslan-m|NAN||female|||Nurse|||	давай оденем [: наденем] [*] .	оденем	наденем
T31.cha	1;02.23	rus|ruslan-m|NAN||female|||Nurse|||	оденем [: наденем] [*] безрукавочку ?	оденем	наденем
T31.cha	1;02.23	rus|ruslan-m|NAN||female|||Nurse|||	Тося , што [: что] одела [: надела] [*] ?	одела	надела
T31.cha	1;02.23	rus|ruslan-m|NAN||female|||Nurse|||	вот вторая тут рукава [: рукав] [*] .	рукава	рукав
T32.cha	1;02.23	rus|ruslan-m|NAN||female|||Nurse|||	руки кверxу [: вверx] [*] подняла .	кверxу	вверx
T32.cha	1;02.23	rus|ruslan-m|NAN||female|||Nurse|||	платьюшко одето [: надето] [*] , да ?	одето	надето
T37.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	на лапки носочки одень [: надень] [*] .	одень	надень
T37.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	ну надо носочки одеть [: надеть] [*] .	одеть	надеть
T37.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	так , пошли-ка [: пойдём-ка] [*] .	пошли-ка	пойдём-ка
T37.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	и одевай [: надевай] [*] носочки .	одевай	надевай
T37.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	можешь сама одеть [: надеть] [*] носочки ?	одеть	надеть
T38.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	пиф-паx [: пиф-паф] [*] xаа .	пиф-паx	пиф-паф
