Название файла-источника	Возраст ребенка	ID говорящего	Реплика	Слово-ошибка	Правильная форма	Лемма	Морфологический разбор
T160.cha	2;02.20	rus|ruslan-m|CHI|2;02.20|female|||Target_Child|||	тапта [: тапок] [*] .	тапта	тапок	тапта	S,жен,неод=им,ед
T164.cha	2;02.26	rus|ruslan-m|CHI|2;02.26|female|||Target_Child|||	няняня [: няня] [*] .	няняня	няня	няняня	S,жен,од=им,ед
T171.cha	2;03.22	rus|ruslan-m|CHI|2;03.22|female|||Target_Child|||	фапка [: шапку] [*] .	фапка	шапку	фапка	S,жен,неод=вин,ед
T182.cha	2;04.15	rus|ruslan-m|CHI|2;04.15|female|||Target_Child|||	Дёсь [: Джордж] , бибика [: машинки] [*] нет .	бибика	машинки	бибик	S,жен,неод=им,ед
T183.cha	2;04.15	rus|ruslan-m|CHI|2;04.15|female|||Target_Child|||	неть [: нет] дось [: дождя] [*] .	дось	дождя	дось	S,муж,неод=род,ед
T183.cha	2;04.15	rus|ruslan-m|CHI|2;04.15|female|||Target_Child|||	дось [: дождя] [*] неть [: нет] .	дось	дождя	дось	S,муж,неод=род,ед
T189.cha	2;04.12	rus|ruslan-m|CHI|2;04.12|female|||Target_Child|||	Варик [: Варин] [*] .	Варик	Варин	варик	S,имя,муж,од=им,ед
T23.cha	1;01.16	rus|ruslan-m|NAN||female|||Nurse|||	мадан [: чемодан] [*] .	мадан	чемодан	мадан	S,муж,неод=им,ед
T24.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	попила водичка [: водички] [*] из бочки .	водичка	водички	водичка	S,жен,неод=им,ед
T24.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	малинки [: малинка] [*] !	малинки	малинка	малинка	S,жен,неод=им,мн
T24.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	я люблю пирогов [: пироги] [*] !	пирогов	пироги	пирог	S,муж,неод=вин,мн
T26.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	в коробочек [: коробочку] [*] , да ?	коробочек	коробочку	коробочка	S,жен,неод=вин,ед
T26.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	не ложись на краюшки [: краюшке] [*] .	краюшки	краюшке	краюшек	S,муж,неод=пр,ед
T31.cha	1;02.23	rus|ruslan-m|NAN||female|||Nurse|||	вот вторая тут рукава [: рукав] [*] .	рукава	рукав	рукав	S,муж,неод=им,ед
T49.cha	1;04.25	rus|ruslan-m|CHI|1;04.25|female|||Target_Child|||	аам [: мам] [*] [?] .	аам	мам	аам	S,жен,од=зват,ед
T49.cha	1;04.25	rus|ruslan-m|CHI|1;04.25|female|||Target_Child|||	Арара [: Варя] [*] !	Арара	Варя	арара	S,имя,жен,од=им,ед
T49.cha	1;04.25	rus|ruslan-m|CHI|1;04.25|female|||Target_Child|||	Арара [: Варя] [*] .	Арара	Варя	арара	S,имя,жен,од=им,ед
T51.cha	1;06.05	rus|ruslan-m|CHI|1;06.05|female|||Target_Child|||	Ряря [: Варя] [*] .	Ряря	Варя	ряря	S,имя,жен,од=им,ед
T60.cha	1;06.26	rus|ruslan-m|CHI|1;06.26|female|||Target_Child|||	раба [: рыба] [*] .	раба	рыба	раба	S,жен,од=им,ед
T98.cha	1;09.18	rus|ruslan-m|CHI|1;09.18|female|||Target_Child|||	дедис [: дети] [*] [?] .	дедис	дети	дедис	S,муж,од=им,мн
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	во [: вот] , лесит [: лежит] [*] .	лесит@ц	лежит	лесивать	V,несов,нп=наст,ед,изъяв,3-л
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	никого [:: никто] [*] меня не тясёт [: трясёт] [*] .	тясёт@ц	трясёт	тясти	V,несов,пе=наст,ед,изъяв,3-л
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	я не ибижаю [: обижаюсь] [*] .	ибижаю@ц	обижаюсь	ибижать	V,несов,пе=наст,ед,изъяв,1-л
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	дугому [: в другом] [*] мети [: месте] [*] .	мети@ц	месте	мести	V,несов,пе=ед,пов,2-л
T235.cha	2;10.08	rus|ruslan-m|CHI|2;10.08|female|||Target_Child|||	говорят [: говотир] [*] .	гово(р)ят	говотир	говорить	V,несов,пе=наст,мн,изъяв,3-л
T235.cha	2;10.08	rus|ruslan-m|CHI|2;10.08|female|||Target_Child|||	засмеюлись [: засмаялся] [*] .	(засме)юлись	засмаялся	засмеюлиться	V,сов,нп=ед,пов,2-л
T24.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	кто–то выливалился [: вывалился] [*].	выливалился	вывалился	выливаливаться	V,нп=прош,ед,изъяв,муж,сов
T24.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	тут зайчик мимо прискакал [: проскакал] [*].	прискакал	проскакал	прискакивать	V,нп=прош,ед,изъяв,муж,сов
T31.cha	1;02.23	rus|ruslan-m|NAN||female|||Nurse|||	одеть [: надеть] [*] безрукавочку на тебя ?	одеть	надеть	одевать	V,пе=инф,сов
T31.cha	1;02.23	rus|ruslan-m|NAN||female|||Nurse|||	давай оденем [: наденем] [*] .	оденем	наденем	одевать	V,пе=буд,мн,изъяв,1-л,сов
T31.cha	1;02.23	rus|ruslan-m|NAN||female|||Nurse|||	оденем [: наденем] [*] безрукавочку ?	оденем	наденем	одевать	V,пе=буд,мн,изъяв,1-л,сов
T31.cha	1;02.23	rus|ruslan-m|NAN||female|||Nurse|||	Тося , што [: что] одела [: надела] [*] ?	одела	надела	одевать	V,пе=прош,ед,изъяв,жен,сов
T32.cha	1;02.23	rus|ruslan-m|NAN||female|||Nurse|||	платьюшко одето [: надето] [*] , да ?	одето	надето	одевать	V,пе=прош,ед,прич,кр,сред,сов,страд
T37.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	на лапки носочки одень [: надень] [*] .	одень	надень	одевать	V,пе=ед,пов,2-л,сов
T37.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	ну надо носочки одеть [: надеть] [*] .	одеть	надеть	одевать	V,пе=инф,сов
T37.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	и одевай [: надевай] [*] носочки .	одевай	надевай	одевать	V,пе=ед,пов,2-л,несов
T37.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	можешь сама одеть [: надеть] [*] носочки ?	одеть	надеть	одевать	V,пе=инф,сов
T38.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	пальцы прищимишь [: прищемишь] [*] там .	прищимишь	прищемишь	прищимить	V,несов,пе=буд,ед,изъяв,2-л
T49.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	всё по–открыто [: открыто] [*] нафиг .	открыто	открыто	открывать	V=прош,ед,прич,кр,сред,сов,страд
T49.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	что тут мог [: могло] [*] могло сорваться ?	мог	могло	мочь	V,несов,нп=прош,ед,изъяв,муж
